,RWR
8/31/2001,-0.025766871
9/28/2001,-0.063811923
10/31/2001,-0.035426009
11/30/2001,0.060901906
12/31/2001,0.030674847
1/31/2002,-0.009353741
2/28/2002,0.024463519
3/28/2002,0.067029744
4/30/2002,-0.001963094
5/31/2002,0.017702596
6/28/2002,0.027831465
7/31/2002,-0.055283941
8/30/2002,0.001990446
9/30/2002,-0.037743345
10/31/2002,-0.061106524
11/29/2002,0.05057168
12/31/2002,0.010883215
1/31/2003,-0.030641822
2/28/2003,0.018368219
3/31/2003,0.031040268
4/30/2003,0.028885273
5/30/2003,0.052589957
6/30/2003,0.025920361
7/31/2003,0.053826437
8/29/2003,0.00590688
9/30/2003,0.034196891
10/31/2003,0.015364061
11/28/2003,0.044407895
12/31/2003,0.031181102
1/30/2004,0.038485034
2/27/2004,0.015
3/31/2004,0.058243987
4/30/2004,-0.149507119
5/28/2004,0.083386993
6/30/2004,0.033878158
7/30/2004,-0.003161828
8/31/2004,0.08621684
9/30/2004,-0.005574728
10/29/2004,0.056326749
11/30/2004,0.039676523
12/31/2004,0.054205153
1/31/2005,-0.085773576
2/28/2005,0.031273644
3/31/2005,-0.014673514
4/29/2005,0.058078928
5/31/2005,0.036359371
6/30/2005,0.047985514
7/29/2005,0.077105832
8/31/2005,-0.040906357
9/30/2005,0.003554255
10/31/2005,-0.020208333
11/30/2005,0.048904954
12/30/2005,-0.001419015
1/31/2006,0.078968737
2/28/2006,0.019755409
3/31/2006,0.053690037
4/28/2006,-0.038872352
5/31/2006,-0.029695755
6/30/2006,0.057078483
7/31/2006,0.036589698
8/31/2006,0.031871145
9/29/2006,0.02025905
10/31/2006,0.060221354
11/30/2006,0.049124962
12/29/2006,-0.023119696
1/31/2007,0.088975434
2/28/2007,-0.023796424
3/30/2007,-0.025362829
4/30/2007,-0.000867428
5/31/2007,-0.000289394
6/29/2007,-0.0900275
7/31/2007,-0.082074121
8/31/2007,0.056489343
9/28/2007,0.043299984
10/31/2007,0.009275271
11/30/2007,-0.096417445
12/31/2007,-0.054300983
1/31/2008,-0.00838498
2/29/2008,-0.034742647
3/31/2008,0.06741573
4/30/2008,0.064942016
5/30/2008,-0.00301558
6/30/2008,-0.108385145
7/31/2008,0.029023747
8/29/2008,0.020879121
9/30/2008,-0.005382131
10/31/2008,-0.312409812
11/28/2008,-0.239506821
12/31/2008,0.158330459
1/30/2009,-0.178677784
2/27/2009,-0.21791153
3/31/2009,0.03245248
4/30/2009,0.316569376
5/29/2009,0.041268759
6/30/2009,-0.046511628
7/31/2009,0.105118516
8/31/2009,0.147031396
9/30/2009,0.068563686
10/30/2009,-0.044128836
11/30/2009,0.068187848
12/31/2009,0.069051167
1/29/2010,-0.058782528
2/26/2010,0.056776105
3/31/2010,0.104648447
4/30/2010,0.068513428
5/28/2010,-0.054027311
6/30/2010,-0.05334728
7/30/2010,0.099005525
8/31/2010,-0.012668409
9/30/2010,0.044399185
10/29/2010,0.044071763
11/30/2010,-0.017743743
12/31/2010,0.047157254
1/31/2011,0.033593608
2/28/2011,0.047610682
3/31/2011,-0.015931578
4/29/2011,0.059645535
5/31/2011,0.014474107
6/30/2011,-0.033291059
7/29/2011,0.017054772
8/31/2011,-0.054014834
9/30/2011,-0.111130049
10/31/2011,0.145349952
11/30/2011,-0.039678553
12/30/2011,0.046548117
1/31/2012,0.063468266
2/29/2012,-0.010651629
3/30/2012,0.051931602
4/30/2012,0.030403371
5/31/2012,-0.04601227
6/29/2012,0.055121727
7/31/2012,0.018865186
8/31/2012,-0.002848597
9/28/2012,-0.020282817
10/31/2012,-0.008893425
11/30/2012,-0.004854369
12/31/2012,0.037102735
1/31/2013,0.034350057
2/28/2013,0.007992283
3/28/2013,0.025974026
4/30/2013,0.067688208
5/31/2013,-0.059653064
6/28/2013,-0.016987392
7/31/2013,0.007290401
8/30/2013,-0.06929366
9/30/2013,0.032690092
10/31/2013,0.040440664
11/29/2013,-0.05522048
12/31/2013,0.004681515
1/31/2014,0.038830839
2/28/2014,0.052331113
3/31/2014,0.007879101
4/30/2014,0.037165193
5/30/2014,0.024465588
6/5/2014,0.023398866
